1	N	24
1	J	24
0	J	24
1	R	24
2	N	24
2	J	24
1	W	24
2	R	24
3	N	31
3	J	32
2	E	34
1	J	34
3	R	34
3	W	37
1	R	37
4	N	37
4	J	37
1	W	37
4	R	37
5	N	53
5	J	53
4	W	53
5	R	53
4	J	54
5	E	55
4	R	55
4	W	57
0	R	57
4	J	319
4	R	319
6	N	319
6	J	319
4	W	319
6	R	319
4	J	320
6	E	321
4	R	321
4	W	321
0	R	321
4	J	326
4	R	326
4	W	326
0	R	326
4	J	340
4	R	340
7	N	340
7	J	341
4	W	341
7	R	341
4	J	342
7	E	342
4	R	342
4	W	342
0	R	343
4	J	352
4	R	352
4	W	352
0	R	352
4	J	374
4	R	374
8	N	374
8	J	374
4	W	374
8	R	375
4	J	376
8	E	376
4	R	376
4	W	376
0	R	376
4	J	379
4	R	379
4	W	379
0	R	379
4	J	389
4	R	389
9	N	389
9	J	390
4	W	390
9	R	390
4	J	391
9	E	391
4	R	391
4	W	391
0	R	391
4	J	401
4	R	401
4	W	401
0	R	401
4	J	468
4	R	468
4	W	468
0	R	468
4	J	476
4	R	477
4	W	477
0	R	477
4	J	479
4	R	479
4	W	479
0	R	479
4	J	489
4	R	489
4	W	489
0	R	489
4	J	498
4	R	498
10	N	499
10	J	499
4	W	499
10	R	499
10	E	502
4	J	502
4	R	502
11	N	502
11	J	502
4	W	503
11	R	503
4	J	504
11	E	504
4	R	504
4	W	504
0	R	504
4	J	595
4	R	595
12	N	595
12	J	595
4	W	595
12	R	595
4	J	596
12	E	597
4	R	597
4	W	597
0	R	597
4	J	600
4	R	600
4	W	600
0	R	600
4	J	624
4	R	624
13	N	624
13	J	624
4	W	624
13	R	625
4	J	626
13	E	626
4	R	626
4	W	626
0	R	626
4	J	630
4	R	630
4	W	630
0	R	630
4	J	648
4	R	648
14	N	648
14	J	648
4	W	648
14	R	648
4	J	649
14	E	650
4	R	650
4	W	650
0	R	650
4	J	1167
4	R	1167
4	W	1167
0	R	1167
4	J	1180
4	R	1180
4	W	1180
0	R	1180
4	J	1184
4	R	1184
4	W	1184
0	R	1184
4	J	1197
4	R	1197
4	W	1197
0	R	1197
4	J	1212
4	R	1212
4	W	1212
0	R	1212
4	J	1224
4	R	1224
4	W	1224
0	R	1224
4	J	1256
4	R	1256
4	W	1256
0	R	1256
4	J	1266
4	R	1266
4	W	1266
0	R	1266
4	J	1432
4	R	1432
4	W	1432
0	R	1432
4	J	1451
4	R	1451
4	W	1451
0	R	1451
4	J	1454
4	R	1454
4	W	1454
0	R	1454
4	J	1464
4	R	1464
4	W	1464
0	R	1464
4	J	1485
4	R	1485
4	W	1485
0	R	1485
4	J	1491
4	R	1491
4	W	1491
0	R	1491
3	J	1537
3	R	1537
3	W	1537
0	R	1537
4	J	1681
4	R	1681
4	W	1682
0	R	1682
4	J	1695
4	R	1695
4	W	1695
0	R	1695
4	J	1701
4	R	1701
4	W	1701
0	R	1701
4	J	1712
4	R	1712
4	W	1712
0	R	1712
4	J	1728
4	R	1728
4	W	1728
0	R	1728
4	J	1736
4	R	1736
4	W	1736
0	R	1736
4	J	1749
4	R	1749
4	W	1749
0	R	1749
4	J	1755
4	R	1755
4	W	1755
0	R	1755
4	J	1890
4	R	1890
4	W	1890
0	R	1890
4	J	1896
4	R	1896
4	W	1896
0	R	1896
4	J	2079
4	R	2079
4	W	2079
0	R	2079
4	J	2096
4	R	2096
4	W	2096
0	R	2096
4	J	2184
4	R	2184
4	W	2184
0	R	2184
4	J	2194
4	R	2194
4	W	2194
0	R	2194
4	J	2214
4	R	2214
4	W	2214
0	R	2214
4	J	2223
4	R	2223
4	W	2223
0	R	2223
4	J	2228
4	R	2228
4	W	2228
0	R	2228
4	J	2237
4	R	2237
4	W	2237
0	R	2237
4	J	2257
4	R	2257
4	W	2257
0	R	2257
4	J	2263
4	R	2263
4	W	2263
0	R	2263
4	J	2274
4	R	2274
4	W	2274
0	R	2274
4	J	2283
4	R	2283
4	W	2283
0	R	2283
4	J	2299
4	R	2299
4	W	2299
0	R	2299
4	J	2307
4	R	2307
4	W	2307
0	R	2307
4	J	2399
4	R	2399
4	W	2399
0	R	2399
4	J	2404
4	R	2404
4	W	2405
0	R	2405
4	J	2408
4	R	2408
4	W	2408
0	R	2408
4	J	2414
4	R	2414
4	W	2414
0	R	2414
4	J	2616
4	R	2616
15	N	2617
15	J	2617
4	W	2618
15	R	2618
16	N	2620
16	J	2620
15	W	2620
16	R	2620
16	E	2631
15	J	2631
15	R	2631
17	N	2632
17	J	2632
15	W	2632
17	R	2632
17	E	2653
15	J	2653
15	R	2653
18	N	2653
18	J	2654
15	W	2654
